Year,Country,Happiness rank,Happiness score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Dystopia + residual
2005,Germany,,6.61954975128174,,0.96349036693573,,0.846623778343201,,0.781006813049316,
2006,Sri Lanka,,4.34461069107056,,0.863598704338074,,0.723847627639771,0.0551424846053124,0.837784767150879,
2007,Germany,,6.41681957244873,,0.925937592983246,,0.80087822675705,0.160926774144173,0.79217940568924,
2007,Sri Lanka,,4.41480541229248,,0.838327467441559,,0.735852897167206,0.102791167795658,0.846718311309815,
2008,Germany,,6.52179002761841,,0.923211336135864,,0.765556991100311,,0.758266150951386,
2008,Sri Lanka,,4.43084621429443,,0.815702736377716,,0.833835601806641,0.155735835433006,0.861397325992584,
2009,Germany,,6.64149332046509,,0.934782326221466,,0.843784511089325,0.121106080710888,0.689930737018585,
2009,Sri Lanka,,4.21202659606934,,0.829611897468567,,0.798871219158173,0.299380153417587,0.689926445484161,
2010,Germany,,6.72453117370606,,0.939308643341065,,0.842656433582306,0.0889904797077179,0.688005983829498,
2010,Sri Lanka,,3.97690510749817,,0.814367234706879,,0.738208532333374,0.25200492143631,0.769477903842926,
2011,Germany,,6.62131214141846,,0.947236657142639,,0.906293272972107,0.0267688799649477,0.677172124385834,
2011,Sri Lanka,,4.18056917190552,,0.841938436031342,,0.822637259960175,0.13830304145813,0.760300695896149,
2012,Germany,,6.70236206054688,,0.926406621932983,,0.904440462589264,0.0648575872182846,0.679236710071564,
2012,Sri Lanka,,4.22459316253662,,0.824357271194458,,0.800397217273712,0.154795184731483,0.822879076004028,
2013,Germany,,6.96512508392334,,0.931420564651489,,0.894312977790833,0.0181393027305603,0.565794229507446,
2013,Sri Lanka,,4.36469411849976,,0.809175252914429,,0.8340203166008,0.26179251074791,0.842013537883759,
2014,Germany,,6.98421430587769,,0.937558948993683,,0.898683428764343,0.081714391708374,0.473952919244766,
2014,Sri Lanka,,4.2679328918457,,0.804798007011414,,0.867936432361603,0.291339427232742,0.79062682390213,
2015,Germany,,7.03713750839233,,0.925923228263855,,0.889428853988648,0.171627730131149,0.412168294191361,
2015,Sri Lanka,,4.61160659790039,,0.862500071525574,,0.902074754238129,0.311648219823837,0.859470963478088,
2016,Germany,,6.87376308441162,,0.906029284000397,,0.870515048503876,0.142289370298386,0.445922136306763,
2017,Germany,,7.07432460784912,,0.892166078090668,,0.840727865695953,0.138983651995659,0.414021193981171,
2017,Sri Lanka,,4.33094549179077,,0.822770595550537,,0.827077388763428,0.0828732401132584,0.844210028648377,
2018,Germany,,7.11836433410645,,0.919763147830963,,0.876887500286102,0.028175599873066,0.495673954486847,
2018,Sri Lanka,,4.43502378463745,,0.832882165908814,,0.858873605728149,0.0956140533089638,0.855907618999481,
2019,Germany,,7.03547239303589,,0.885667324066162,,0.884751558303833,0.0509414970874786,0.462255150079727,
2019,Sri Lanka,,4.21329927444458,,0.814939141273499,,0.824277341365814,0.0425317473709583,0.86334228515625,
2020,Germany,,7.31189775466919,,0.905080497264862,,0.86435604095459,-0.0677168145775795,0.424088776111603,
2020,Sri Lanka,,4.778489112854,,0.842499971389771,,0.803484857082367,-0.0499843247234821,0.768454253673554,
2021,Germany,,6.75452375411987,,0.867582559585571,,0.778439998626709,0.0736780241131783,0.417581915855408,
2021,Sri Lanka,,4.10344696044922,,0.8123739361763,,0.771430015563965,-0.0132167059928179,0.848541498184204,
2022,Germany,,6.6082067489624,,0.915808022022247,,0.895221889019013,0.079951323568821,0.416577160358429,
2022,Sri Lanka,,3.98486018180847,,0.825453519821167,,0.740057170391083,0.0375008508563042,0.899854481220245,
2023,Germany,,6.79249048233032,,0.894832491874695,,0.844737529754639,0.106207937002182,0.460183352231979,
2023,Sri Lanka,,3.60245490074158,,0.790229856967926,,0.753907203674316,0.0504892766475678,0.921878397464752,
